,A,B
242,PGF,FLT1
243,PGF,KDR
244,VEGFB,FLT1
245,VEGFB,KDR
246,VEGFA,FLT1
247,VEGFA,KDR
248,SEMA6D,PLXNA1
249,SEMA6D,KDR
250,VTN,ITGAV
251,VTN,ITGB5
252,PLAUR,ITGAV
253,PLAUR,ITGB5
254,FCER2,ITGAV
255,FCER2,ITGB5
256,ADAM9,ITGAV
257,ADAM9,ITGB5
258,L1CAM,ITGA2B
259,L1CAM,ITGB3
260,CD40LG,ITGA2B
261,CD40LG,ITGB3
262,FN1,ITGA2B
263,FN1,ITGB3
264,SPP1,ITGAV
265,SPP1,ITGB3
266,L1CAM,ITGAV
267,NID1,ITGAV
268,NID1,ITGB3
269,ANGPTL3,ITGAV
270,ANGPTL3,ITGB3
271,FGF1,ITGAV
272,FGF1,ITGB3
273,MMP2,ITGAV
274,MMP2,ITGB3
275,FBN1,ITGAV
276,FBN1,ITGB3
277,FGF2,ITGAV
278,FGF2,ITGB3
279,EDIL3,ITGAV
280,EDIL3,ITGB3
281,THY1,ITGAV
282,THY1,ITGB3
283,FCER2,ITGB3
284,PLAUR,ITGB3
285,VTN,ITGB3
286,FN1,ITGAV
287,ICAM5,ITGAL
288,ICAM5,ITGB2
289,HP,ITGAM
290,HP,ITGB2
291,THY1,ITGAM
292,THY1,ITGB2
293,CD40LG,ITGAM
294,CD40LG,ITGB2
295,THY1,ITGAX
296,ICAM1,ITGAX
297,ICAM1,ITGB2
298,TIMP1,CD63
299,TIMP1,ITGB1
300,ADAM9,ITGA1
301,ADAM9,ITGB1
302,CSPG4,ITGA2
303,CSPG4,ITGB1
304,CSPG4,ITGA3
305,TIMP2,ITGA3
306,TIMP2,ITGB1
307,ADAM9,ITGA3
308,CSPG4,ITGA4
309,CD14,ITGA4
310,CD14,ITGB1
311,ADAM28,ITGA4
312,ADAM28,ITGB1
313,ANGPT1,ITGA5
314,ANGPT1,ITGB1
315,FBN1,ITGA5
316,FBN1,ITGB1
317,ANGPT2,ITGA5
318,ANGPT2,ITGB1
319,ADAM17,ITGA5
320,ADAM17,ITGB1
321,ADAM9,ITGA6
322,TSPAN1,ITGA6
323,TSPAN1,ITGB1
324,VTN,ITGA8
325,VTN,ITGB1
326,PLG,ITGA9
327,PLG,ITGB1
328,L1CAM,ITGB1
329,FCER2,ITGB2
330,FCER2,ITGAX
331,C3,ITGB2
332,C3,ITGAX
333,FCER2,CD47
334,SPP1,ITGB1
335,FN1,ITGB1
336,TNC,ITGB3
337,TNC,ITGAV
338,SPP1,ITGB5
339,FN1,ITGB6
340,VCAM1,ITGB2
341,VCAM1,ITGAM
342,FCER2,ITGAM
343,JAM3,ITGB2
344,JAM3,ITGAM
345,GP1BA,ITGB2
346,GP1BA,ITGAM
347,C3,ITGAM
348,ICAM2,ITGB2
349,ICAM2,ITGAL
350,ICAM3,ITGB2
351,ICAM3,ITGAL
352,F11R,ITGB2
353,F11R,ITGAL
354,ICAM4,ITGB2
355,ICAM4,ITGAL
356,ICAM1,ITGAL
357,CDH1,ITGB7
358,CDH1,ITGAE
359,ICAM3,ITGAD
360,VCAM1,ITGAD
361,SPP1,ITGA9
362,VCAM1,ITGB1
363,VCAM1,ITGA9
364,F13A1,ITGB1
365,F13A1,ITGA9
366,L1CAM,ITGA9
367,FN1,ITGA9
368,SPP1,ITGA8
369,FN1,ITGA8
370,TNC,ITGB1
371,TNC,ITGA7
372,L1CAM,ITGA5
373,SPP1,ITGA5
374,F13A1,ITGA5
375,SPON2,ITGB1
376,SPON2,ITGA5
377,CD40LG,ITGB1
378,CD40LG,ITGA5
379,FN1,ITGA5
380,SPP1,ITGA4
381,PLAUR,ITGB1
382,PLAUR,ITGA4
383,JAM2,ITGB1
384,JAM2,ITGA4
385,VCAM1,ITGA4
386,SPON2,ITGA4
387,FN1,ITGA4
388,MADCAM1,ITGB7
389,MADCAM1,ITGA4
390,VCAM1,ITGB7
391,FN1,ITGB7
392,FN1,ITGA3
393,CDH1,ITGB1
394,CDH1,ITGA2
395,HSPG2,ITGB1
396,HSPG2,ITGA2
397,COL10A1,ITGB1
398,COL10A1,ITGA2
399,COL11A1,ITGB1
400,COL11A1,ITGA2
401,COL11A2,ITGB1
402,COL11A2,ITGA2
403,COL12A1,ITGB1
404,COL12A1,ITGA2
405,COL13A1,ITGB1
406,COL13A1,ITGA2
407,COL14A1,ITGB1
408,COL14A1,ITGA2
409,COL15A1,ITGB1
410,COL15A1,ITGA2
411,COL16A1,ITGB1
412,COL16A1,ITGA2
413,COL17A1,ITGB1
414,COL17A1,ITGA2
415,COL18A1,ITGB1
416,COL18A1,ITGA2
417,COL19A1,ITGB1
418,COL19A1,ITGA2
419,COL1A1,ITGB1
420,COL1A1,ITGA2
421,COL1A2,ITGB1
422,COL1A2,ITGA2
423,COL20A1,ITGB1
424,COL20A1,ITGA2
425,COL21A1,ITGB1
426,COL21A1,ITGA2
427,COL22A1,ITGB1
428,COL22A1,ITGA2
429,COL24A1,ITGB1
430,COL24A1,ITGA2
431,COL26A1,ITGB1
432,COL26A1,ITGA2
433,COL27A1,ITGB1
434,COL27A1,ITGA2
435,COL28A1,ITGB1
436,COL28A1,ITGA2
437,COL2A1,ITGB1
438,COL2A1,ITGA2
439,COL3A1,ITGB1
440,COL3A1,ITGA2
441,COL4A1,ITGB1
442,COL4A1,ITGA2
443,COL4A2,ITGB1
444,COL4A2,ITGA2
445,COL4A3,ITGB1
446,COL4A3,ITGA2
447,COL4A4,ITGB1
448,COL4A4,ITGA2
449,COL4A5,ITGB1
450,COL4A5,ITGA2
451,COL4A6,ITGB1
452,COL4A6,ITGA2
453,COL5A1,ITGB1
454,COL5A1,ITGA2
455,COL5A2,ITGB1
456,COL5A2,ITGA2
457,COL5A3,ITGB1
458,COL5A3,ITGA2
459,COL6A1,ITGB1
460,COL6A1,ITGA2
461,COL6A2,ITGB1
462,COL6A2,ITGA2
463,COL6A3,ITGB1
464,COL6A3,ITGA2
465,COL6A5,ITGB1
466,COL6A5,ITGA2
467,COL6A6,ITGB1
468,COL6A6,ITGA2
469,COL7A1,ITGB1
470,COL7A1,ITGA2
471,COL8A1,ITGB1
472,COL8A1,ITGA2
473,COL8A2,ITGB1
474,COL8A2,ITGA2
475,COL9A1,ITGB1
476,COL9A1,ITGA2
477,COL9A2,ITGB1
478,COL9A2,ITGA2
479,COL9A3,ITGB1
480,COL9A3,ITGA2
481,COL10A1,ITGA11
482,COL11A1,ITGA11
483,COL11A2,ITGA11
484,COL12A1,ITGA11
485,COL13A1,ITGA11
486,COL14A1,ITGA11
487,COL15A1,ITGA11
488,COL16A1,ITGA11
489,COL17A1,ITGA11
490,COL18A1,ITGA11
491,COL19A1,ITGA11
492,COL1A1,ITGA11
493,COL1A2,ITGA11
494,COL20A1,ITGA11
495,COL21A1,ITGA11
496,COL22A1,ITGA11
497,COL24A1,ITGA11
498,COL26A1,ITGA11
499,COL27A1,ITGA11
500,COL28A1,ITGA11
501,COL2A1,ITGA11
502,COL3A1,ITGA11
503,COL4A1,ITGA11
504,COL4A2,ITGA11
505,COL4A3,ITGA11
506,COL4A4,ITGA11
507,COL4A5,ITGA11
508,COL4A6,ITGA11
509,COL5A1,ITGA11
510,COL5A2,ITGA11
511,COL5A3,ITGA11
512,COL6A1,ITGA11
513,COL6A2,ITGA11
514,COL6A3,ITGA11
515,COL6A5,ITGA11
516,COL6A6,ITGA11
517,COL7A1,ITGA11
518,COL8A1,ITGA11
519,COL8A2,ITGA11
520,COL9A1,ITGA11
521,COL9A2,ITGA11
522,COL9A3,ITGA11
523,COL10A1,ITGA10
524,COL11A1,ITGA10
525,COL11A2,ITGA10
526,COL12A1,ITGA10
527,COL13A1,ITGA10
528,COL14A1,ITGA10
529,COL15A1,ITGA10
530,COL16A1,ITGA10
